SailNo;Club;HelmName
2972;CRLP;BLANCO Baltazar
3038;CUBA;GENOUD Simón
3061;CRLP;DONATO Luca
3118;CUBA;ROMERO Lucia
3193;CNSP;JAUREGUI AGUERO Joaquin Francisco
3271;CRLP;BRUGO Benjamín Andrés
3316;CPNLB;BOERI DI GIORGIO Mateo
3321;YCC;VIERA Lucas
3449;CRLP;FAVERO Justino
3463;CNSP;DRAGO Bruno
3513;CPNLB - CBRIO;HERRERA BARRERA Brandon Lionel
3514;CNSA;CALLACI Lucio
3522;CNSE;SCHEJTER Andres
3529;CRLP;WENZEL Valentino
3535;ANVD;ALVAREZ MILLET Galo
3564;YCA;BELLI Gregorio
3571;CNGSM;PIÑEYRO Facundo
3584;CNSI;CARANTI Alejandro
3601;CRSN;LEONARDO Nicolas
3605;YCA;PEREYRA IRAOLA Félix
3614;YCA;TORO Gaspar Leo
3626;CRSN;LAUREIRO Francisco
3663;CNSA;STECHINA Alejandro
3688;CNSE;MASSA GALLI Felipe
3699;CRR;LÓPEZ Salvador
3726;RRC;BEARZOTTI Pedro
3730;CPNLB;TROILO Tiago
3745;CNMP;DE LA VEGA Lucas
3753;CRLP;GOLDENBERG Salvador
3762;CPNLB;RESTAINO Lucas
3771;CUBA;LÓPEZ TILLI Joaquín
3773;CRSN;CARRETTO Joaquín
3785;CRLP;VERNA Joquin
3799;CNSI;BRADLEY Eugenio
3804;YCA;GONZÁLEZ VILLALBA Felipe
3828;CNJ;SOTO Imanol
3831;YCR;DÍAZ CUERDO Lorenzo
3842;YCA;BLOUSSON Franco
3847;CPNLB;GIROUD Juan Martin
3849;CNSE;CELLA LANDI Mateo
3852;CNSE;DE VALAIS Juan Cruz
3855;CNMP;FIGUEROA Joaquin
3868;CUBA;ANTONI Rafael
3888;YCA;COZAR Nicolas
3889;CPNLB;CICHOWOLSKI Manuel
3896;CNSI;AROCENA Felipe
3898;CVB;IRIBERRI Bautista
3907;CNVC - RRC;VESPERINI Tiziano
3913;CVB;MENENDEZ Nicolas
3917;YCA;STENGEL Pedro
3933;YCR;KATZ Simon
